cens1_mean,cens2_mean,cens3_mean,cens4_mean,cens5_mean,cens6_mean,cens7_mean,cens8_mean,cens9_mean,cens10_mean,cens11_mean,cens12_mean,cens1_var,cens2_var,cens3_var,cens4_var,cens5_var,cens6_var,cens7_var,cens8_var,cens9_var,cens10_var,cens11_var,cens12_var
0.06278726,0.38573015,0.36511594,0.07724755,0.25857928,0.15725076,0.336906,0.16814649,0.14949566,0.3590857,0.044603024,0.17406079,0.008660001,0.04839996,0.03756732,0.009233488,0.018913038,0.00925612,0.042703267,0.031885773,0.01134619,0.035736084,0.002050876,0.035518322
0.1895618,0.14997603,0.45945194,0.2474828,0.179027,0.17798291,0.36910352,0.28175318,0.15038197,0.2040236,0.10687326,0.22181481,0.009117646,0.018632885,0.037797686,0.0063079116,0.043073565,0.026581015,0.02975722,0.026125109,0.021508053,0.013720381,0.0050627342,0.027536009
0.17973246,0.14786005,0.4296526,0.2105049,0.23010632,0.16168523,0.26945785,0.31659156,0.18273747,0.21904364,0.14664155,0.2993846,0.0037180197,0.010598383,0.043288447,0.005659722,0.060400933,0.015878988,0.01951054,0.05294056,0.0097652795,0.018214082,0.01154531,0.02117412
0.22525169,0.40608683,0.32115626,0.20483051,0.17138156,0.2059562,0.23438157,0.23857078,0.3929613,0.3515018,0.21314663,0.1772011,0.0063917493,0.006447461,0.007525576,0.005374747,0.004165648,0.0057628066,0.0044832085,0.008418509,0.013083358,0.018088827,0.0108884545,0.010261923
0.2060471,0.22718498,0.28244698,0.28191987,0.23460028,0.23485695,0.25670666,0.33987713,0.3317198,0.35459334,0.32856855,0.24353121,0.010161874,0.0023376925,0.007535364,0.0049464838,0.0029858688,0.00559526,0.0023501604,0.002747672,0.0037144758,0.0033783114,0.0036891473,0.0026254859
0.15909937,0.19289687,0.2558975,0.48081326,0.5578805,0.23158771,0.20288126,0.17777932,0.19974367,0.1435831,0.12419364,0.20181084,0.006789448,0.003943339,0.007878285,0.006613707,0.014663842,0.0027402088,0.006877398,0.008375005,0.0103823235,0.009265897,0.005108448,0.0039472617
0.08861228,0.1666606,0.54050696,0.11699516,0.17284933,0.24482948,0.31201363,0.51238006,0.19460183,0.23257264,0.03571696,0.18610024,0.0033516963,0.005352988,0.015216063,0.0066879,0.0027857048,0.0010816049,0.0030402846,0.029418543,0.0023224691,0.0028073823,0.001897782,0.0070636207
0.16174011,0.12760076,0.24535197,0.34050107,0.14061932,0.19329403,0.15420467,0.22472633,0.33343855,0.27481675,0.43125367,0.3003749,0.009797096,0.0073639215,0.006585368,0.02985503,0.0127209425,0.01632874,0.008571926,0.010705158,0.037145574,0.012772639,0.02113834,0.014252235
0.21211419,0.16230622,0.14810851,0.27979907,0.11277933,0.18527174,0.15761773,0.46029037,0.5881756,0.2093225,0.17025879,0.21165872,0.0037310906,0.0144193275,0.0045060683,0.008768846,0.0059466227,0.009545746,0.005090272,0.0045853877,0.006536198,0.0055758473,0.009445151,0.0030437326
0.20336431,0.17088185,0.21582325,0.28017622,0.21742226,0.26100227,0.3622789,0.35614172,0.3500958,0.2594793,0.20345622,0.23682043,0.010449295,0.00333532,0.01566931,0.019413419,0.0029940163,0.0055868775,0.02055637,0.020811655,0.013149113,0.005505919,0.013398607,0.01275277
0.2582338,0.2867174,0.22287196,0.31590006,0.24326098,0.22346929,0.2913043,0.23781854,0.40170607,0.26112324,0.24826601,0.26937565,0.0032344502,0.0121976845,0.0013939916,0.006666269,0.008512571,0.0024893312,0.011607713,0.002327399,0.019161051,0.0053303437,0.0037976832,0.010710264
0.06479631,0.084191784,0.5668745,0.014242061,0.15137298,0.43948838,0.093972005,0.13834505,0.06346285,0.32662365,0.19329934,0.117378406,0.008471238,0.007015115,0.026752729,0.0006599086,0.029852057,0.029661926,0.0112244785,0.017846996,0.0033382166,0.05979751,0.054028463,0.012830736
0.20701121,0.07737062,0.22282836,0.044402853,0.28191045,0.15607882,0.16894725,0.32789114,0.19160698,0.6077354,0.12399368,0.25232387,0.014642302,0.0028737325,0.023143332,0.0014454506,0.022733156,0.024145558,0.011637815,0.027558427,0.0077088415,0.013734331,0.004491315,0.020569922
